11:22:38.616,array('B', [0])
11:22:38.627,array('B', [0])
11:22:38.801,array('B', [0])
11:22:38.814,array('B', [0])
11:22:38.825,array('B', [0])
11:22:38.836,array('B', [0])
11:22:38.847,array('B', [0])
11:22:38.858,array('B', [0])
11:22:38.869,array('B', [0])
11:22:38.880,array('B', [0])
11:22:38.892,array('B', [0])
11:22:38.903,array('B', [0])
11:22:38.914,array('B', [0])
11:22:38.925,array('B', [0])
11:22:38.936,array('B', [0])
11:22:38.947,array('B', [0])
11:22:38.958,array('B', [0])
11:22:38.970,array('B', [0])
11:22:38.982,array('B', [0])
11:22:38.993,array('B', [0])
11:22:39.005,array('B', [0])
11:22:39.016,array('B', [0])
11:22:39.027,array('B', [0])
11:22:39.201,array('B', [0])
11:22:39.212,array('B', [0])
11:22:39.225,array('B', [0])
11:22:39.236,array('B', [0])
11:22:39.247,array('B', [0])
11:22:39.258,array('B', [0])
11:22:39.269,array('B', [0])
11:22:39.281,array('B', [0])
11:22:39.292,array('B', [0])
11:22:39.303,array('B', [0])
11:22:39.314,array('B', [0])
11:22:39.326,array('B', [0])
11:22:39.337,array('B', [0])
11:22:39.348,array('B', [0])
11:22:39.360,array('B', [0])
