16:31:10.751,array('B', [0])
16:31:10.775,array('B', [0])
16:31:10.787,array('B', [0])
16:31:10.798,array('B', [0])
16:31:10.809,array('B', [0])
16:31:10.828,array('B', [0])
16:31:10.838,array('B', [0])
16:31:10.865,array('B', [0])
16:31:10.876,array('B', [0])
16:31:10.889,array('B', [0])
16:31:10.899,array('B', [0])
16:31:10.919,array('B', [0])
16:31:10.930,array('B', [0])
16:31:10.950,array('B', [0])
16:31:10.961,array('B', [0])
16:31:10.981,array('B', [0])
16:31:10.992,array('B', [0])
16:31:11.012,array('B', [0])
16:31:11.022,array('B', [0])
16:31:11.034,array('B', [0])
16:31:11.044,array('B', [0])
16:31:11.055,array('B', [0])
16:31:11.072,array('B', [0])
16:31:11.083,array('B', [0])
16:31:11.111,array('B', [0])
16:31:11.121,array('B', [0])
16:31:11.133,array('B', [0])
16:31:11.144,array('B', [0])
16:31:11.165,array('B', [0])
16:31:11.176,array('B', [0])
16:31:11.195,array('B', [0])
16:31:11.206,array('B', [0])
16:31:11.234,array('B', [0])
16:31:11.245,array('B', [0])
16:31:11.257,array('B', [0])
16:31:11.268,array('B', [0])
16:31:11.288,array('B', [0])
16:31:11.301,array('B', [0])
16:31:11.319,array('B', [0])
16:31:11.329,array('B', [0])
16:31:11.340,array('B', [0])
16:31:11.359,array('B', [0])
16:31:11.387,array('B', [0])
16:31:11.398,array('B', [0])
16:31:11.416,array('B', [0])
16:31:11.427,array('B', [0])
16:31:11.449,array('B', [0])
16:31:11.461,array('B', [0])
16:31:11.480,array('B', [0])
16:31:11.491,array('B', [0])
16:31:11.508,array('B', [0])
16:31:11.519,array('B', [0])
16:31:11.541,array('B', [0])
16:31:11.553,array('B', [0])
16:31:11.571,array('B', [0])
16:31:11.582,array('B', [0])
16:31:11.601,array('B', [0])
16:31:11.613,array('B', [0])
16:31:11.632,array('B', [0])
16:31:11.644,array('B', [0])
16:31:11.662,array('B', [0])
16:31:11.673,array('B', [0])
16:31:11.693,array('B', [0])
16:31:11.704,array('B', [0])
16:31:11.723,array('B', [0])
16:31:11.734,array('B', [0])
16:31:11.754,array('B', [0])
16:31:11.765,array('B', [0])
16:31:11.783,array('B', [0])
16:31:11.796,array('B', [0])
16:31:11.814,array('B', [0])
16:31:11.826,array('B', [0])
16:31:11.844,array('B', [0])
16:31:11.854,array('B', [0])
16:31:11.875,array('B', [0])
16:31:11.887,array('B', [0])
16:31:11.898,array('B', [0])
